id,from,at,to,open,close,min,max,volume
5267452,2024-11-14 19:21:00,1731612090000000000,1731612090,0.587025,0.587045,0.58699,0.587065,40
5267453,2024-11-14 19:21:30,1731612120000000000,1731612120,0.587045,0.587095,0.587025,0.5871,46
5267454,2024-11-14 19:22:00,1731612150000000000,1731612150,0.58709,0.587145,0.58709,0.58716,38
5267455,2024-11-14 19:22:30,1731612180000000000,1731612180,0.587145,0.587115,0.587115,0.587165,36
5267456,2024-11-14 19:23:00,1731612210000000000,1731612210,0.58712,0.58696,0.586945,0.58716,52
5267457,2024-11-14 19:23:30,1731612240000000000,1731612240,0.58697,0.58705,0.586955,0.58705,22
5267458,2024-11-14 19:24:00,1731612270000000000,1731612270,0.58705,0.58706,0.58704,0.587115,24
5267459,2024-11-14 19:24:30,1731612300000000000,1731612300,0.587065,0.58708,0.58705,0.587105,15
5267460,2024-11-14 19:25:00,1731612330001217413,1731612330,0.58708,0.58713,0.58706,0.58713,32
5267461,2024-11-14 19:25:30,1731612360000000000,1731612360,0.587135,0.587105,0.587105,0.587135,27
5267462,2024-11-14 19:26:00,1731612390000000000,1731612390,0.587085,0.587135,0.58706,0.587135,30
5267463,2024-11-14 19:26:30,1731612420000000000,1731612420,0.587135,0.58717,0.587125,0.58717,41
5267464,2024-11-14 19:27:00,1731612450000000000,1731612450,0.587165,0.587155,0.58713,0.587175,48
5267465,2024-11-14 19:27:30,1731612480000000000,1731612480,0.587155,0.587155,0.587115,0.587165,27
5267466,2024-11-14 19:28:00,1731612510000000000,1731612510,0.587155,0.58713,0.587125,0.587155,27
5267467,2024-11-14 19:28:30,1731612540000000000,1731612540,0.587125,0.587205,0.587125,0.587205,33
5267468,2024-11-14 19:29:00,1731612570000000000,1731612570,0.5872,0.587185,0.587145,0.587215,33
5267469,2024-11-14 19:29:30,1731612600000000000,1731612600,0.58718,0.587155,0.58712,0.587185,38
5267470,2024-11-14 19:30:00,1731612630000000000,1731612630,0.587135,0.587135,0.58713,0.587165,55
5267471,2024-11-14 19:30:30,1731612660000000000,1731612660,0.587135,0.587105,0.5871,0.58716,35
5267472,2024-11-14 19:31:00,1731612690000000000,1731612690,0.587095,0.587105,0.587095,0.58714,37
5267473,2024-11-14 19:31:30,1731612720001777666,1731612720,0.5871,0.58704,0.58704,0.58712,20
5267474,2024-11-14 19:32:00,1731612750000000000,1731612750,0.587055,0.58707,0.587055,0.587115,35
5267475,2024-11-14 19:32:30,1731612780000000000,1731612780,0.587075,0.587105,0.587075,0.587155,38
5267476,2024-11-14 19:33:00,1731612810000000000,1731612810,0.58711,0.58712,0.587105,0.587165,28
5267477,2024-11-14 19:33:30,1731612840000000000,1731612840,0.58712,0.58706,0.58706,0.587125,12
5267478,2024-11-14 19:34:00,1731612870000000000,1731612870,0.58706,0.58707,0.58705,0.587095,21
5267479,2024-11-14 19:34:30,1731612900000000000,1731612900,0.58707,0.58702,0.587015,0.58707,16
5267480,2024-11-14 19:35:00,1731612930000000000,1731612930,0.58702,0.586985,0.58695,0.58702,18
5267481,2024-11-14 19:35:30,1731612960000000000,1731612960,0.586985,0.586955,0.586935,0.586995,19
5267482,2024-11-14 19:36:00,1731612990000000000,1731612990,0.586955,0.58691,0.5869,0.58696,34
5267483,2024-11-14 19:36:30,1731613020000000000,1731613020,0.58691,0.58693,0.586885,0.58696,24
5267484,2024-11-14 19:37:00,1731613050000000000,1731613050,0.58693,0.58691,0.58691,0.58695,12
5267485,2024-11-14 19:37:30,1731613080000000000,1731613080,0.58691,0.587015,0.58691,0.587045,30
5267486,2024-11-14 19:38:00,1731613110000000000,1731613110,0.587015,0.58709,0.58701,0.587095,27
5267487,2024-11-14 19:38:30,1731613140000000000,1731613140,0.58709,0.58704,0.58704,0.587105,17
5267488,2024-11-14 19:39:00,1731613170000000000,1731613170,0.58704,0.587,0.58699,0.58704,19
5267489,2024-11-14 19:39:30,1731613200000000000,1731613200,0.587,0.58707,0.586995,0.58708,18
5267490,2024-11-14 19:40:00,1731613230004944525,1731613230,0.58707,0.587095,0.58705,0.587105,13
5267491,2024-11-14 19:40:30,1731613260000213181,1731613260,0.58708,0.58702,0.58702,0.58708,31
5267492,2024-11-14 19:41:00,1731613290000000000,1731613290,0.58702,0.58691,0.586905,0.58704,25
5267493,2024-11-14 19:41:30,1731613320000000000,1731613320,0.58691,0.58694,0.58691,0.586955,6
5267494,2024-11-14 19:42:00,1731613350000000000,1731613350,0.586915,0.586845,0.58684,0.586915,36
5267495,2024-11-14 19:42:30,1731613380000000000,1731613380,0.58685,0.58685,0.586845,0.58687,12
5267496,2024-11-14 19:43:00,1731613410000000000,1731613410,0.58685,0.586895,0.586835,0.586895,15
5267497,2024-11-14 19:43:30,1731613440000000000,1731613440,0.586895,0.58684,0.58679,0.586895,29
5267498,2024-11-14 19:44:00,1731613470000000000,1731613470,0.58685,0.5868,0.5868,0.58686,41
5267499,2024-11-14 19:44:30,1731613500002187933,1731613500,0.5868,0.58678,0.586755,0.5868,42
5267500,2024-11-14 19:45:00,1731613530000000000,1731613530,0.586785,0.58669,0.58669,0.586785,40
5267501,2024-11-14 19:45:30,1731613560000000000,1731613560,0.58669,0.58659,0.58657,0.586695,63
5267502,2024-11-14 19:46:00,1731613590000000000,1731613590,0.58659,0.586645,0.586565,0.58668,48
5267503,2024-11-14 19:46:30,1731613620000000000,1731613620,0.586645,0.586605,0.5866,0.586655,24
5267504,2024-11-14 19:47:00,1731613650000000000,1731613650,0.586605,0.58665,0.586575,0.58666,32
